#,Background,Stance,Mango Color,Eyes,Mouth,Costume,Costume Color,Hat,Weapon 1,Weapon 2,Weapon 3,Affinity,Special Edition
mh0,Lime Green,Floating,Orange,Unknown,Unknown,Hockey Mask,White/Blood,None,None,None,None,Hero,Travis D
mh59,Pink Black,Fun,Sunrise,Intense Worn,Lower,Puffy,Blue,Magician,Wand,None,None,Hero,None
mh60,Peach Center,Fun,Normal,Angry 2,Knife,Cape,Red,None,None,None,Knife,Hero,None
mh61,TBT,Fun,Blue,Cyclops,Sour,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh62,Teal Black,Fun,Green,Eager,Pout,Cope,Black,None,None,None,None,Hero,Cope
mh63,Teal Black,Fun,Blue,Focused Black,uwu,Slime Shirt,Pink,None,None,None,None,Hero,None
mh64,Evening,Fun,Blue,Ghoulish,Buck,Wasteland,Green,None,MPAS-12,None,None,Hero,None
mh65,Turquoise Center,Fun,Green,Glasses,Twig,Mangonaut,White,None,None,None,None,Hero,None
mh66,Green Mangos,Fun,Sunrise,Angry,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh67,Sky 1,Fun,Red,Scared,Buck,Mango Radio,Green,None,None,None,None,Hero,None
 mh68,Fallen,Fun,Green,Goggles,Jester Red,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh69,Gold,Fighting,Blue,Patch,Yum,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh70,Turquoise Center,Fun,Blue,Eager,Leaf,Mangonaut,White,None,None,None,None,Hero,None
mh71,Teal Black,Fun,Purple,Sinister,Gum,FFF,Purple,None,None,None,None,Hero,FFF
mh72,Blue Center Light,Fun,Purple,Focused Black,Leaf,School,Blue,None,None,None,None,Hero,None
mh73,Pink Center,Fighting,Pink,Calm,Pout,Mango Ranger,Pink,None,None,None,None,Hero,None
mh74,Red Cornered,Fun,Red,Focused Red,Lower,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh75,Brown Grey,Fun,Normal,Focused Red,Pucker,Furutsu,Green,None,None,None,None,Hero,None
mh76,Sky 1,Fun,Purple,Intense Worn,Cupid,Mango Radio,Green,None,None,None,None,Hero,None
mh77,Banana,Fun,Pink,Goggles,Joint,24,Yellow,None,Mango Mentality,None,None,Hero,None
mh78,Mango Island,Fun,Sunrise,Focused Black,Buck,Pyro,Purple,None,None,None,None,Hero,None
mh79,TBT,Fun,Pink,Intense Worn,Frown,Slime Shirt,Pink,None,None,None,None,Hero,None
mh80,Mango Island,Fun,Blue,Sinister,Cigar,Pyro,Purple,None,None,None,None,Hero,None
mh81,Teal Black,Fun,Sunrise,Intense,Clench 3,Shirt,Blue,None,None,None,None,Hero,None
mh82,Rising Sun,Fun,Pink,Ghoulish,Whiskers,Ronin,Black,None,Katana,None,None,Hero,None
mh83,Stars,Fun,Red,Sinister,Cigar 2,Space Suit,Red,None,None,None,None,Hero,None
mh84,Grey White,Fighting,Sunrise,Concentrate,Pucker,Grease,Blue,Cowboy,None,None,None,Hero,None
mh85,Sky 2,Fun,Red,Intense Worn,Fright,Swimmer,Blue,Swimmer,None,None,None,Hero,None
mh86,Grey White,Fighting,Normal,Angry,Yum,Grease,Blue,None,None,None,None,Hero,None
mh87,Sky 1,Fun,Normal,Skeptic,Plumber,Mango Radio,Blue,None,None,None,None,Hero,None
mh88,Sun,Fun,Pink,Yikes,Jester Red,Chad,White,None,Jo,None,None,Hero,None
mh89,Rising Sun,Fun,Purple,Sinister,Mustache 2,Ronin,Tan,None,Katana,None,None,Hero,None
mh90,Ocean 1,Fun,Pink,Surprise,Sinister,Boxer,White,None,Gloves,None,None,Hero,None
mh91,Ocean 3,Fighting,Red,Shades,Woozy,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh92,Sky 2,Fun,Purple,Eager,Joint,Swimmer,Blue,Swimmer,None,None,None,Hero,None
mh93,Grey Red,Fun,Pink,Calm,Full Metal,23,Red,None,Mango Mentality,None,None,Hero,None
mh94,Green Mangos,Fun,Blue,Skeptic,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh95,Dark Temple,Kanjo,Normal,Fierce,Primed,Space Monk,Black,None,Light Sword Green,None,None,Hero,None
mh96,Mushroom,Fun,Normal,Stunned,Lip,Plumber,Yellow,Plumber,None,None,None,Hero,None
mh97,Sky 1,Fun,Red,Pixelshades,Jester Red,Mango Radio,Green,None,None,None,None,Hero,None
mh98,Pink Orange,Fun,Red,Piercing,Triumph,Cope,Black,Pirate,Hook,None,None,Hero,Cope
mh99,Sunset,Fun,Pink,Scar Left,Buck,Mangoball,Pink,None,Mangoball,None,None,Hero,None
mh100,Ocean 3,Fighting,Sunrise,Crying,Woozy,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh101,Pink Orange,Fun,Pink,Intense Worn,Clench 1,Cope,Black,Mariachi,Maraca,None,None,Hero,Cope
mh102,Blue Center Light,Fun,Normal,Focused Black,Fright,School,Blue,None,None,None,None,Hero,None
mh103,Sun,Fun,Normal,Eager,Triumph,Chad,White,None,Jo,None,None,Hero,None
mh104,Green Black,Fun,Normal,Pixelshades,Clench 1,Guerrilla,Black,None,AM-47,None,None,Hero,None
mh105,Orange Center,Fun,Pink,Surprise,Jester Purple,Caliburn Combat,Green,None,None,None,None,Hero,None
mh106,Toxic,Fighting,Sunrise,Fire,Frown,Mango Ranger,Green,None,None,None,None,Hero,None
mh107,Rising Sun,Fun,Pink,Focused Red,Fright,Ronin,Blue,None,Katana,None,None,Hero,None
mh108,Purple Grey,Fun,Blue,Sinister,Lower,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh109,Turquoise Center,Fun,Blue,Piercing,Cigar,Mangonaut,White,None,None,None,None,Hero,None
mh110,TBT Radial,Fun,Blue,Scar Left,Pout,Striped,White,None,None,None,None,Hero,None
mh111,Cornered Purple,Fun,Sunrise,Piercing,Jester Purple,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh112,Sakura,Fun,Pink,Focused Red,Sinister,Damasi,White,None,None,None,None,Hero,None
mh113,Teal Black,Fun,Green,Piercing,Tongue,Slime Shirt,Pink,None,None,None,None,Hero,None
mh114,Purple Center,Fun,Purple,Eager,Sinister,Biz,Tan,None,None,None,None,Hero,None
mh115,Stars,Fun,Pink,Jester,uwu,Space Suit,Red,None,None,None,None,Hero,None
mh116,Tangelo,Fighting,Green,Heart,Joint,Viking,Brown,Viking,Shield,None,None,Hero,None
mh117,Sun,Fun,Normal,Surprise,Fright,Chad,White,None,Jo,None,None,Hero,None
mh118,TBT Radial,Fun,Sunrise,Eager,Yell,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh119,Pink White,Fun,Normal,Focused Black,Buck,Trunks,Blue,None,None,None,None,Hero,None
mh120,Turquoise Center,Fun,Pink,Calm,Full Metal,Mangonaut,White,None,None,None,None,Hero,None
mh121,Planets,Fun,Purple,Piercing,Plumber,Space Wrangler,White,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh122,Planets,Fun,Sunrise,Angry 3,Clench 1,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh123,Purple Grey,Fun,Pink,Intense,Leaf,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh124,Sunset,Fun,Blue,Sinister,Triumph,Mangoball,Green,None,Mangoball,None,None,Hero,None
mh125,Green Mangos,Fun,Normal,Spectacles,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh126,TBT,Fun,Red,Worry,Mask Yellow,Cope,Black,None,None,None,None,Hero,Cope
mh127,Pink White,Fun,Normal,Intense Worn,Sinister,Trunks,Light Pink,None,None,None,None,Hero,None
mh128,Sky 1,Fun,Normal,Ghoulish,Leaf,Mango Radio,Red,None,None,None,None,Hero,None
mh129,Barrel White,Fun,Purple,Surprise,Wheat,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh130,Barrel White,Fun,Pink,Surprise,Buck,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh131,Sun,Fun,Purple,Plead 2,Sinister,Chad,White,None,Jo,None,None,Hero,None
mh132,Red Cornered,Fun,Blue,Resent,Ghoulish,Agent O,Black,None,Mango MPK,Pencil,None,Hero,None
mh133,Purple Center,Fun,Red,Eager,Pucker,Biz,Tan,None,None,None,None,Hero,None
mh134,Tangelo,Fighting,Red,Concentrate,Clench 2,Viking,Brown,Viking,Shield,None,None,Hero,None
mh135,Rising Sun,Fun,Blue,Jester,Cigar,Ronin,Tan,None,Katana,None,None,Hero,None
mh136,Barrel Red,Fun,Purple,Spectacles Angry,Twig,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh137,Pink Orange,Fun,Pink,Goggles,Leaf,Diaper,White,None,None,None,None,Hero,None
mh138,Ocean 3,Fighting,Purple,Angry,Happy,Straw Hat,Red,Straw Hat,None,None,None,Hero,None
mh139,Rising Sun,Fun,Blue,Resent,Mustache 2,Ronin,Tan,None,Katana,None,None,Hero,None
mh140,Teal Black,Fun,Red,Ghoulish,Leaf,Tiger,Orange,Mariachi,Maraca,None,None,Hero,None
mh141,Planets,Fun,Red,Glasses,Mask White,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh142,Stars,Fun,Blue,Alien White,Smirk,Space Suit,Red,None,None,None,None,Hero,None
mh143,Bonsai,Fighting,Pink,Intense,Shogun,Shogun,Black,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh144,Rising Sun,Fun,Purple,Scar Right,Clench,Ronin,Tan,None,Katana,None,None,Hero,None
mh145,Purple Center,Fun,Red,Angry,Sinister,Biz,Tan,None,None,None,None,Hero,None
mh146,Ocean 1,Fun,Pink,Sinister,Leaf,Boxer,Pink,None,Gloves,None,None,Hero,None
mh147,Blue Center Light,Fun,Normal,Focused Black,Whiskers,School,Blue,None,None,None,None,Hero,None
mh148,Purple Grey,Fun,Sunrise,Tired,Goatee,Ghoul,White,None,Rinkaku Red,None,None,Hero,None
mh149,Pink Orange,Fun,Purple,Wink 2,Mustache 2,Cope,Black,None,None,None,None,Hero,Cope
mh150,Barrel White,Fun,Pink,Intense Worn,Leaf,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh151,Turquoise Center,Fun,Red,Angry 3,Leaf,Mangonaut,White,None,None,None,None,Hero,None
mh152,Cornered Purple,Fun,Purple,Eager,Twig,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh153,Frosted,Kanjo,Normal,Fierce,Primed,Space Monk,White,None,Light Sword Blue,None,None,Hero,None
mh154,Green Mangos,Fun,Green,Wink,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh155,TBT Radial,Fun,Pink,Piercing,Fright,Kaiju Shirt,Red,Mariachi,Maraca,None,None,Hero,Kaiju
mh156,Ocean 3,Fighting,Sunrise,Plead 1,Yell,Straw Hat,Yellow,Straw Hat,None,None,None,Hero,None
mh157,Mango Island,Fun,Purple,Mask,Buck,Mango Man,Green,None,None,None,None,Hero,None
mh158,Grey White,Fighting,Blue,Plead 1,Cheese,Grease,Blue,Cowboy,None,None,None,Hero,None
mh159,TBT Radial,Fun,Normal,Angry 2,Whiskers,Cope,Black,Mariachi,Maraca,None,None,Hero,Cope
mh160,Teal Black,Fun,Red,Goggles,uwu,Cope,Black,None,None,None,None,Hero,Cope
mh161,Blue Center Dark,Fighting,Purple,Fire,Mock,Mango Ranger,Blue,None,None,None,None,Hero,None
mh162,Pink,Fun,Normal,Alien White,Wheat,Trunks,Pink,None,None,None,None,Hero,None
mh163,TBT,Fun,Pink,Intense Worn,Smooch,FFF,Purple,None,None,None,None,Hero,FFF
mh164,Turquoise Center,Fun,Sunrise,Surprise,Twig,Mangonaut,White,None,None,None,None,Hero,None
mh165,Ocean 1,Fun,Normal,Alien White,Lip,Boxer,Orange,None,Gloves,None,None,Hero,None
mh166,Tangelo,Fighting,Sunrise,Concentrate,Surgical,Viking,Brown,Viking,Shield,None,None,Hero,None
mh167,Grey White,Fighting,Pink,Scared,Joint,Grease,Blue,None,None,None,None,Hero,None
mh168,Green Mangos,Fun,Normal,Plead 1,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh169,Gold,Fighting,Purple,Wink,Smile,Mango Ranger,Yellow,None,None,None,None,Hero,None
mh170,Green Black,Fun,Normal,Plead 1,Cigar,Guerrilla,Yellow,None,AM-47,None,None,Hero,None
mh171,Purple Grey,Fun,Red,Ghoulish,Sinister,Ghoul,Red,None,Rinkaku Green,None,None,Hero,None
mh172,Teal Black,Fun,Pink,Intense,Buck,Kaiju Shirt,Red,Mariachi,Maraca,None,None,Hero,Kaiju
mh173,Bonsai,Fighting,Green,Intense,Shogun,Shogun,Pink,Shogun,Wakizashi & Tanto,Bow,None,Hero,None
mh174,Barrel Black,Fun,Purple,Jester,Whiskers,Special Agent M,White,None,Mango MPK,None,None,Hero,None
mh175,Sea,Fun,Red,Scared,Knife,Rockstar,Black,None,None,None,Knife,Hero,None
mh176,Brown Grey,Fun,Purple,Eager,Tongue,Furutsu,Orange,None,None,None,None,Hero,None
mh177,Rising Sun,Fun,Green,Scar Left,Full Metal,Ronin,Tan,None,Katana,None,None,Hero,None
mh178,Rising Sun,Fun,Green,Angry 2,Buck,Ronin,Tan,None,Katana,None,None,Hero,None
mh179,Blue Center Light,Fun,Pink,Eager,Mustache 2,School,Red,None,None,None,None,Hero,None
mh180,TBT,Fun,Blue,Scared,Whiskers,Slime Shirt,Pink,None,None,None,None,Hero,None
mh181,Planets,Fun,Pink,Pixelshades,Plumber,Space Wrangler,Pink,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh182,Barrel Red,Fun,Purple,Intense,Cheese,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh183,TBT,Fun,Red,Angry 2,Pout,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh184,Sakura,Fun,Normal,Ded,Jester Purple,Damasi,Black,None,None,None,None,Hero,None
mh185,Peach Center,Fun,Purple,Ghoulish,Tongue,Cape,Yellow,None,None,None,None,Hero,None
mh186,Sky 2,Fun,Normal,Piercing,Cigar,Swimmer,Red,Swimmer,None,None,None,Hero,None
mh187,Evening,Fun,Purple,Wink 2,Cupid,Wasteland,Pink,None,MPAS-12,None,None,Hero,None
mh188,Grey White,Fighting,Sunrise,Skeptic,Pout,Grease,Blue,Cowboy,None,None,None,Hero,None
mh189,Pink Bubble,Fun,Purple,Skeptic,Fright,Cope,Black,None,None,None,None,Hero,Cope
mh190,TBT,Fun,Green,Sinister,Yum,Tiger,Orange,None,None,None,None,Hero,None
mh191,Sakura,Fun,Blue,Resent,Mask Pink,Damasi,Yellow,None,None,None,None,Hero,None
mh192,Orange Center,Fun,Red,Pixelshades,Sinister,Caliburn Combat,Yellow,None,None,None,None,Hero,None
mh193,Sun,Fun,Pink,Fire,Eager,Chad,White,None,Jo,None,None,Hero,None
mh194,Pink White,Fun,Normal,Surprise,Leaf,Trunks,Blue,None,None,None,None,Hero,None
mh195,Sky 1,Fun,Normal,Yikes,Leaf,Mango Radio,Red,None,None,None,None,Hero,None
mh196,Sunset,Fun,Sunrise,Angry,Whiskers,9000,Blue,None,Mangoball,9000,None,Hero,None
mh197,Pink Center,Fighting,Pink,Star,Yum,Mango Ranger,Pink,None,None,None,None,Hero,None
mh198,Turquoise Center,Fun,Sunrise,Ded,Pucker,Mangonaut,White,None,None,None,None,Hero,None
mh199,Teal Black,Fun,Red,Ghoulish,Sour,Diaper,White,None,None,None,None,Hero,None
mh200,Sunset,Fun,Normal,Angry,Jester Purple,Mangoball,Orange,None,Mangoball,None,None,Hero,None
mh201,Sun,Fun,Red,Surprise,Sinister,Chad,Green,None,Jo,None,None,Hero,None
mh202,Mango Island,Fun,Pink,Mask,Cupid,Mango Man,Green,None,None,None,None,Hero,None
mh203,Pink Orange,Fun,Normal,Concentrate,Leaf,Sweater,Pink,Mariachi,Maraca,None,None,Hero,None
mh204,Cornered Purple,Fun,Green,Wink 2,Mask Yellow,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh205,Teal Black,Fun,Purple,Intense,Jester Red,FFF,Purple,None,None,None,None,Hero,FFF
mh206,Brown Grey,Fun,Purple,Focused Black,Cheese,Furutsu,Green,None,None,None,None,Hero,None
mh207,Ocean 3,Fighting,Sunrise,Scared,Whistle,Straw Hat,Green,Straw Hat,None,None,None,Hero,None
mh208,Grey White,Fighting,Pink,Patch,Yell,Grease,Blue,None,None,None,None,Hero,None
mh209,Mango Island,Fun,Red,Fright,Fright,Fate,Grey,None,None,None,None,Hero,None
mh210,Cornered Purple,Fun,Purple,Piercing,Jester Purple,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh211,Sky 2,Fun,Red,Piercing,Straw,Swimmer,Pink,Swimmer,None,None,None,Hero,None
mh212,Sunset,Fun,Normal,Eager,Triumph,Mangoball,Green,None,Mangoball,None,None,Hero,None
mh213,TBT Radial,Fun,Purple,Eager,Tongue,Striped,White,None,None,None,None,Hero,None
mh214,Teal Black,Fun,Purple,Jester,Frown,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh215,Green Mangos,Fun,Red,Resent,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh216,Sakura,Fun,Pink,Surprise,Mask Yellow,Damasi,Pink,None,None,None,None,Hero,None
mh217,Green Black,Fun,Normal,Angry 1,Respirator 2,Mercenary,Black,None,AM-47,None,None,Hero,None
mh218,Planets,Fun,Red,Surprise,Gum,Space Wrangler,Tan,Space Wrangler,Mango-45,Mango Ray,None,Hero,None
mh219,Teal Black,Fun,Normal,Tired,Knife,Kaiju Shirt,Red,None,None,None,Knife,Hero,Kaiju
mh220,Cornered Purple,Fun,Normal,Cute,Wheat,Alchemist,Pink,None,Otomeiru,None,None,Hero,None
mh221,Cornered Purple,Fun,Purple,Goggles,Lower,Alchemist,Red,None,Otomeiru,None,None,Hero,None
mh222,Tangelo,Fighting,Sunrise,Concentrate,Frown,Viking,Brown,Viking,Shield,None,None,Hero,None
mh223,Blue Center Dark,Fighting,Green,Worry 2,Yum,Mango Ranger,Blue,None,None,None,None,Hero,None
mh224,Stars,Fun,Red,Worry,Yell,Space Suit,Red,None,None,None,None,Hero,None
mh225,Blue Yellow,Fun,Red,Alien White,Clench 1,Jester,Purple,None,None,None,None,Hero,None
mh226,Green Mangos,Fun,Purple,Joy,Pacifier,Diaper,White,None,None,None,None,Hero,None
mh227,Pink Black,Fun,Red,Alien White,Mask Green,Kaiju Shirt,Red,Magician,Wand,None,None,Hero,Kaiju
mh228,Grey White,Fighting,Pink,Normal,Yum,Grease,Blue,None,None,None,None,Hero,None
mh229,Cornered Purple,Fun,Pink,Alien White,Full Metal,Alchemist,Yellow,None,Otomeiru,None,None,Hero,None
mh230,Ocean 1,Fun,Purple,Piercing Worn,Plumber,Boxer,Orange,None,Gloves,None,None,Hero,None
mh231,Evening,Fun,Blue,Tired,Twig,Wasteland,Blue,None,MPAS-12,None,None,Hero,None
mh232,Orange Center,Fun,Red,Happy,Fright,Caliburn Combat,Black,None,None,None,None,Hero,None
mh233,TBT Radial,Fun,Blue,Alien Red,Cupid,FFF,Purple,Pirate,Hook,None,None,Hero,FFF
mh234,Purple Center,Fun,Purple,Cyclops,Clench 1,Biz,Tan,None,None,None,None,Hero,None
mh235,Sea,Fun,Blue,Piercing Worn,Yum,Rockstar,Black,None,None,None,None,Hero,None
mh236,Barrel Red,Fun,Sunrise,Wink 2,Fright,Special Agent O,Black,None,Mango MPK,None,None,Hero,None
mh237,Toxic,Fighting,Purple,Money,Smile,Mango Ranger,Green,None,None,None,None,Hero,None
mh238,Peach Center,Fun,Red,Intense,Knife,Cape,Blue,None,None,None,Knife,Hero,None
mh239,Mango Island,Fun,Purple,Mask,Smooch,Mango Man,Green,None,None,None,None,Hero,None
mh240,Purple Center,Fun,Blue,Alien White,Fright,Biz,Tan,None,None,None,None,Hero,None
mh241,Teal Black,Fun,Blue,Angry 2,Cig,Cope,Black,None,None,None,None,Hero,Cope
mh242,Rising Sun,Fun,Pink,Cute,Whiskers,Ronin,Tan,None,Katana,None,None,Hero,None
mh243,Green Black,Fun,Normal,Alien Yellow,Leaf,Mercenary,Black,None,AM-47,None,None,Hero,None
mh244,Blue Yellow,Fun,Purple,Joy,Cigar,Jester,Purple,None,None,None,None,Hero,None
mh245,Sea,Fun,Green,Piercing Worn,Happy,Rockstar,Black,None,None,None,None,Hero,None
mh246,Turquoise Center,Fun,Pink,Plead 2,Sinister,Mangonaut,White,None,None,None,None,Hero,None
mh247,Fallen,Fun,Purple,Goggles,Jester Red,Ghoul,Black,None,Rinkaku Red,None,None,Hero,None
mh248,Mushroom,Fun,Red,Intense Worn,Pout,Plumber,Purple,Plumber,None,None,None,Hero,None
mh249,Barrel Black,Fun,Purple,Skeptic,Sinister,Special Agent N,Pink,None,Mango MPK,None,None,Hero,None
mh250,Evening,Fun,Normal,Ghoulish,Leaf,Wasteland,Black,None,MPAS-12,None,None,Hero,None
mh251,Teal Black,Fun,Pink,Skeptic,Whistle,Kaiju Shirt,Red,None,None,None,None,Hero,Kaiju
mh252,Rising Sun,Fun,Pink,Alien Yellow,Buck,Ronin,Tan,None,Katana,None,None,Hero,None
